Group,ln_area_m2,ln_csf
arborescent,-5.075606025,3.407926122
arborescent,-5.225271757,2.994799395
arborescent,-3.840007543,5.331468059
arborescent,-6.412475478,3.304148182
arborescent,-3.687706105,4.768528811
arborescent,-3.206608456,4.54033047
arborescent,-2.938499247,5.147650428
arborescent,-3.16508746,5.029338577
arborescent,-3.24981085,5.986863796
arborescent,-3.861416976,4.633057253
arborescent,-3.561611151,5.190277694
arborescent,-3.088200516,2.926368875
arborescent,-3.489863519,3.615393996
arborescent,-3.504902809,3.067242546
arborescent,-3.004321061,4.343088628
arborescent,-3.401081019,4.535100819
arborescent,-2.807652243,5.08917561
arborescent,-4.887298936,5.889508474
arborescent,-4.314030839,6.425264684
arborescent,-3.892899056,6.911597108
arborescent,-4.472684838,6.263637947
arborescent,-3.727110879,5.063309906
arborescent,-4.013505678,5.725788345
arborescent,-3.448206643,5.231749267
arborescent,-3.508991913,5.331254335
arborescent,-4.467563823,4.932150329
arborescent,-3.64563133,6.597701896
arborescent,-3.346833444,4.062352658
arborescent,-4.313632069,4.929799882
arborescent,-5.050648679,4.444231249
arborescent,-2.904963031,3.839481552
arborescent,-3.357506457,4.8521611
arborescent,-4.451697272,5.583784861
arborescent,-2.931916951,6.337437849
arborescent,-3.770483751,2.04878499
arborescent,-4.04433333,6.242116289
arborescent,-5.78573571,3.822276757
arborescent,-4.272119891,7.728068738
arborescent,-2.449598761,4.99715422
arborescent,-2.112442851,6.447736277
arborescent,-1.340355474,8.007626959
arborescent,-1.934056021,8.014084684
arborescent,-3.408346889,6.557079232
arborescent,-2.910039451,6.788632032
arborescent,-2.579498516,7.435311567
arborescent,-3.48504889,4.047159945
arborescent,-2.480271553,6.964839487
arborescent,-3.860297706,6.140943247
arborescent,-2.760651997,5.935220708
arborescent,-2.262873343,14.6453636
arborescent,-4.103586149,7.126276656
arborescent,-3.302178815,7.330286143
arborescent,-2.011630114,7.751781703
arborescent,-4.02551297,4.898527714
arborescent,-5.945090658,4.031710143
arborescent,-4.475407293,6.32719683
arborescent,-4.391715603,5.774108541
arborescent,-3.452583438,5.619489642
arborescent,-1.41716122,6.829791242
arborescent,-2.548604849,6.18370731
arborescent,-4.024663461,6.605802806
arborescent,-4.071514615,6.123335522
arborescent,-3.535924084,6.905551489
arborescent,-6.438231088,3.052160944
arborescent,-6.226795718,1.654441373
arborescent,-5.134291835,4.480673313
arborescent,-6.311209001,3.684172791
arborescent,-3.50930312,7.993645524
arborescent,-5.597456019,4.314282046
arborescent,-2.144527255,8.400322874
arborescent,-4.155106935,4.488804366
arborescent,-2.579746856,7.067684878
arborescent,-6.483202053,1.804992577
corymbose,-3.004498003,3.486979311
corymbose,-4.311886804,1.727492904
corymbose,-4.439703378,2.192085959
corymbose,-4.941284762,1.564361009
corymbose,-3.457432511,1.759722183
corymbose,-3.898490903,1.621525869
corymbose,-2.09649981,1.257724651
corymbose,-3.975152157,1.53001538
corymbose,-5.223588778,2.574491961
corymbose,-5.180249508,2.204647653
corymbose,-3.771505843,1.652759071
corymbose,-3.909157249,0.114839403
corymbose,-4.463310485,2.089902119
corymbose,-2.84503344,2.079705449
corymbose,-2.527673583,2.335017051
corymbose,-3.188020463,3.021795746
corymbose,-3.287550759,1.698890801
corymbose,-2.785699074,1.344025012
corymbose,-3.150493293,0.360895258
corymbose,-4.144762551,0.722195097
corymbose,-4.334890461,-0.152626562
corymbose,-3.2916205,1.514809682
corymbose,-4.047423692,1.609494716
corymbose,-4.925565459,2.097805387
corymbose,-3.526673246,1.494474223
corymbose,-3.663263256,0.285086643
corymbose,-3.438747146,0.85394848
corymbose,-3.824877715,1.519201543
corymbose,-4.320093189,0.893594102
